Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2018-07-23,2018,7,23,Monday,29,2018-29,47.67,47.99,47.39,47.9,63957600,45.72,0.0008878449920022291,45.26857142857143,45.0054
2018-07-24,2018,7,24,Tuesday,29,2018-29,48.11,48.42,48.01,48.25,74791600,46.05,0.0072544959484563964,45.423571428571435,45.026399999999995
2018-07-25,2018,7,25,Wednesday,29,2018-29,48.26,48.71,48.11,48.71,66839600,46.48,0.009430054732175286,45.58357142857143,45.0582
2018-07-26,2018,7,26,Thursday,29,2018-29,48.65,48.99,48.4,48.55,76304000,46.34,-0.0031310561990653962,45.69,45.0954
2018-07-27,2018,7,27,Friday,29,2018-29,48.75,48.8,47.53,47.74,96096000,45.57,-0.01663158036853296,45.69714285714286,45.1088
2018-07-30,2018,7,30,Monday,30,2018-30,47.97,48.05,47.27,47.48,84118000,45.31,-0.005602936418207749,45.68928571428571,45.122600000000006
2018-07-31,2018,7,31,Tuesday,30,2018-30,47.58,48.03,47.33,47.57,157492000,45.4,0.002001054533597779,45.730000000000004,45.14160000000001
2018-08-01,2018,8,1,Wednesday,30,2018-30,49.78,50.44,49.33,50.38,271742800,48.08,0.058909817387085894,45.90857142857143,45.2078
2018-08-02,2018,8,2,Thursday,30,2018-30,50.15,52.1,50.09,51.85,249616000,49.48,0.02923078522188627,46.18214285714286,45.3042
2018-08-03,2018,8,3,Friday,30,2018-30,51.76,52.19,51.37,52.0,133789600,49.63,0.0028932546308455542,46.473571428571425,45.398
2018-08-06,2018,8,6,Monday,31,2018-31,52.0,52.31,51.77,52.27,101701600,49.88,0.005192757274706805,46.77357142857143,45.4978
2018-08-07,2018,8,7,Tuesday,31,2018-31,52.33,52.38,51.69,51.78,102349600,49.42,-0.009374889593147584,47.058571428571426,45.586400000000005
2018-08-08,2018,8,8,Wednesday,31,2018-31,51.51,51.95,51.13,51.81,90102000,49.45,0.0006761596110309576,47.32071428571429,45.6788
2018-08-09,2018,8,9,Thursday,31,2018-31,52.38,52.44,51.8,52.22,93970400,49.84,0.00786450397564531,47.61785714285714,45.7808
2018-08-10,2018,8,10,Friday,31,2018-31,51.84,52.28,51.67,51.88,98444800,49.69,-0.0029784732915225653,47.901428571428575,45.882799999999996
