Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2018-04-03,2018,4,3,Tuesday,13,2018-13,258.87,261.31,256.84,260.77,119956900,237.74,0.01281713340246804,242.43285714285713,247.035
2018-04-04,2018,4,4,Wednesday,13,2018-13,256.75,264.36,256.6,263.56,123715300,240.29,0.010698916597986274,241.73999999999998,246.70680000000002
2018-04-05,2018,4,5,Thursday,13,2018-13,265.55,266.64,264.32,265.64,82652600,242.18,0.007892254050033465,241.20214285714286,246.40560000000002
2018-04-06,2018,4,6,Friday,13,2018-13,263.42,265.11,258.0,259.72,179521200,236.78,-0.022285877416049704,240.25857142857143,245.9984
2018-04-09,2018,4,9,Monday,14,2018-14,261.37,264.84,259.94,261.0,105442900,237.95,0.004928112732721424,239.6407142857143,245.6124
2018-04-10,2018,4,10,Tuesday,14,2018-14,264.27,266.04,262.98,265.15,103529000,241.73,0.015900405671734896,239.26285714285714,245.24239999999998
2018-04-11,2018,4,11,Wednesday,14,2018-14,263.47,265.64,263.39,263.76,91140200,240.47,-0.005242218336572679,238.82857142857142,244.8818
2018-04-12,2018,4,12,Thursday,14,2018-14,265.26,267.0,265.06,265.93,68890500,242.45,0.008227147288995873,238.9757142857143,244.6138
2018-04-13,2018,4,13,Friday,14,2018-14,267.41,267.54,264.01,265.15,85079200,241.73,-0.0029331716443836697,239.43785714285715,244.32879999999997
2018-04-16,2018,4,16,Monday,15,2018-15,267.0,268.2,266.07,267.33,63405300,243.72,0.008221702616008963,239.58214285714286,244.0894
2018-04-17,2018,4,17,Tuesday,15,2018-15,269.33,270.87,268.75,270.19,64682000,246.33,0.010698578001438808,240.20642857142857,244.0136
2018-04-18,2018,4,18,Wednesday,15,2018-15,270.69,271.3,269.87,270.39,57303900,246.51,0.0007404230341003792,240.8942857142857,244.15060000000003
2018-04-19,2018,4,19,Thursday,15,2018-15,269.65,269.88,267.72,268.89,77655900,245.14,-0.005547547582617329,241.26785714285714,244.1658
2018-04-20,2018,4,20,Friday,15,2018-15,268.81,269.06,265.61,266.61,99953100,243.07,-0.008479438688533736,241.86357142857145,244.166
2018-04-23,2018,4,23,Monday,16,2018-16,267.26,267.89,265.35,266.57,65558000,243.03,-0.00015034927171631018,242.24142857142857,244.34779999999998
2018-04-24,2018,4,24,Tuesday,16,2018-16,267.73,267.98,261.28,262.98,112885500,239.76,-0.013466979088576858,242.20357142857145,244.3938
2018-04-25,2018,4,25,Wednesday,16,2018-16,262.91,264.13,260.85,263.63,103840900,240.35,0.0024716329585598995,242.07285714285715,244.38199999999998
2018-04-26,2018,4,26,Thursday,16,2018-16,264.79,267.25,264.29,266.31,67731900,242.79,0.010165618884520722,242.50214285714287,244.407
2018-04-27,2018,4,27,Friday,16,2018-16,267.0,267.34,265.5,266.56,57053600,243.02,0.0009388718919076666,242.8642857142857,244.3714
2018-04-30,2018,4,30,Monday,17,2018-17,267.26,267.89,264.43,264.51,82182300,241.15,-0.007690536102271217,242.82285714285715,244.2358
2018-05-01,2018,5,1,Tuesday,17,2018-17,263.87,265.1,262.11,264.98,74203400,241.58,0.0017767536837267617,242.90214285714288,244.1074
2018-05-02,2018,5,2,Wednesday,17,2018-17,264.76,265.68,262.76,263.2,86368900,239.96,-0.0067173928751712575,242.7242857142857,243.9776
2018-05-03,2018,5,3,Thursday,17,2018-17,262.26,263.36,259.05,262.62,136311500,239.43,-0.002203826023079336,242.55999999999997,243.86180000000002
2018-05-04,2018,5,4,Friday,17,2018-17,261.52,266.79,261.15,266.02,91222100,242.53,0.012946448373276853,242.475,243.8016
2018-05-07,2018,5,7,Monday,18,2018-18,266.89,268.02,266.11,266.92,55304900,243.35,0.0033833467941160045,242.26214285714286,243.6796
2018-05-08,2018,5,8,Tuesday,18,2018-18,266.5,267.33,265.15,266.92,67499200,243.35,0.0,242.03642857142856,243.49960000000002
2018-05-09,2018,5,9,Wednesday,18,2018-18,267.68,269.87,267.09,269.5,59666100,245.7,0.009665855430901926,242.07642857142855,243.4296
2018-05-10,2018,5,10,Thursday,18,2018-18,270.34,272.39,270.22,272.02,72063900,248.0,0.009350681386184112,242.42857142857142,243.4562
2018-05-11,2018,5,11,Friday,18,2018-18,272.16,273.15,271.58,272.85,59871500,248.75,0.0030511635645169566,242.83714285714288,243.56939999999997
2018-05-14,2018,5,14,Monday,19,2018-19,273.34,274.08,272.36,272.98,54790600,248.87,0.0004764940831432085,243.48785714285714,243.66
2018-05-15,2018,5,15,Tuesday,19,2018-19,271.59,271.61,270.03,271.1,87036100,247.16,-0.006887112301806275,243.9742857142857,243.66
2018-05-16,2018,5,16,Wednesday,19,2018-19,271.14,272.76,271.11,272.24,53942600,248.2,0.004205065809993025,244.36071428571427,243.66819999999998
2018-05-17,2018,5,17,Thursday,19,2018-19,271.94,273.23,271.13,272.01,56536400,247.99,-0.0008448934175837586,244.71571428571428,243.67399999999998
2018-05-18,2018,5,18,Friday,19,2018-19,271.62,272.03,270.93,271.33,64368000,247.37,-0.002499844021251474,245.16,243.6434
2018-05-21,2018,5,21,Monday,20,2018-20,273.01,273.98,272.57,273.37,58025900,249.23,0.0075184500763836315,245.70642857142857,243.5634
2018-05-22,2018,5,22,Tuesday,20,2018-20,273.96,274.25,272.24,272.61,52966400,248.54,-0.0027803029264078516,246.3192857142857,243.47600000000003
2018-05-23,2018,5,23,Wednesday,20,2018-20,271.17,273.39,270.99,273.36,64694200,249.22,0.0027517089205222334,247.01857142857145,243.4348
2018-05-24,2018,5,24,Thursday,20,2018-20,272.91,273.22,270.78,272.8,76043800,248.71,-0.0020488119670259985,247.46,243.40920000000003
2018-05-25,2018,5,25,Friday,20,2018-20,272.15,272.86,271.58,272.15,56374800,248.12,-0.0023824778518152234,247.8007142857143,243.37739999999997
2018-05-29,2018,5,29,Tuesday,21,2018-21,270.31,271.17,267.76,269.02,115908600,245.26,-0.011501185935265279,247.93714285714285,243.28279999999998
2018-05-30,2018,5,30,Wednesday,21,2018-21,270.5,273.11,270.42,272.61,69678400,248.54,0.013344392483361611,248.14000000000001,243.3216
2018-05-31,2018,5,31,Thursday,21,2018-21,272.15,272.49,270.26,270.94,93519900,247.01,-0.006125775568115555,248.06928571428574,243.32139999999998
2018-06-01,2018,6,1,Friday,21,2018-21,272.41,273.94,272.33,273.6,71258400,249.44,0.009817594614573988,248.11857142857144,243.37919999999997
2018-06-04,2018,6,4,Monday,22,2018-22,274.53,275.19,274.26,274.9,45385200,250.62,0.004751513300768728,248.2435714285714,243.5838
2018-06-05,2018,6,5,Tuesday,22,2018-22,275.05,275.53,274.18,275.1,51135000,250.81,0.0007278588887704718,248.50428571428571,243.8948
2018-06-06,2018,6,6,Wednesday,22,2018-22,275.79,277.52,275.09,277.4,62732200,252.9,0.008360243409287538,248.84,244.11879999999996
2018-06-07,2018,6,7,Thursday,22,2018-22,277.95,278.28,276.34,277.37,72969400,252.88,-0.00010799880151501906,249.18928571428572,244.42460000000003
2018-06-08,2018,6,8,Friday,22,2018-22,276.85,278.25,276.66,278.19,72139700,253.62,0.0029565300714413656,249.6357142857143,244.7594
2018-06-11,2018,6,11,Monday,23,2018-23,278.44,279.37,278.31,278.56,58892500,253.96,0.001329726350836058,249.97357142857143,245.0404
2018-06-12,2018,6,12,Tuesday,23,2018-23,279.03,279.33,278.19,278.92,72329000,254.29,0.0012923912283946404,250.3842857142857,245.4316
2018-06-13,2018,6,13,Wednesday,23,2018-23,279.19,279.48,277.8,278.03,79070600,253.48,-0.0031906843274711605,250.6885714285714,245.7464
2018-06-14,2018,6,14,Thursday,23,2018-23,279.01,279.33,278.06,278.73,77097600,254.12,0.002517712599350519,251.075,246.023
2018-06-15,2018,6,15,Friday,23,2018-23,276.6,277.51,275.35,277.13,120041600,253.79,-0.0012755702506970223,251.48,246.2552
2018-06-18,2018,6,18,Monday,24,2018-24,275.49,276.7,274.95,276.56,52917600,253.27,-0.00205717906855174,252.05214285714285,246.585
2018-06-19,2018,6,19,Tuesday,24,2018-24,274.0,275.75,273.53,275.5,97531500,252.3,-0.003832447829348995,252.3207142857143,246.872
2018-06-20,2018,6,20,Wednesday,24,2018-24,276.27,276.72,275.59,275.97,53785500,252.73,0.0017058110125900416,252.7292857142857,247.092
2018-06-21,2018,6,21,Thursday,24,2018-24,275.96,275.98,273.68,274.24,71061400,251.14,-0.006269025244550086,252.85071428571428,247.30539999999996
2018-06-22,2018,6,22,Friday,24,2018-24,275.66,275.79,274.49,274.74,54898500,251.6,0.0018231330657476619,252.92071428571427,247.4884
2018-06-25,2018,6,25,Monday,25,2018-25,273.44,273.62,269.1,271.0,137854200,248.18,-0.013612681784429315,252.73285714285717,247.6174
2018-06-26,2018,6,26,Tuesday,25,2018-25,271.64,272.56,270.79,271.6,68547400,248.73,0.002214075546758787,252.435,247.71759999999998
2018-06-27,2018,6,27,Wednesday,25,2018-25,272.26,273.87,269.18,269.35,105110700,246.67,-0.008284241542957926,251.99142857142854,247.72439999999997
2018-06-28,2018,6,28,Thursday,25,2018-25,269.29,271.75,268.49,270.89,76650500,248.08,0.005717591156353619,251.5957142857143,247.7558
2018-06-29,2018,6,29,Friday,25,2018-25,272.12,273.66,271.15,271.28,97592500,248.43,0.001439847036319497,251.20071428571427,247.8216
2018-07-02,2018,7,2,Monday,26,2018-26,269.51,272.04,269.24,271.86,63554800,248.97,0.002137655848218234,250.82071428571427,247.93959999999998
2018-07-03,2018,7,3,Tuesday,26,2018-26,272.87,272.98,270.42,270.9,42187100,248.09,-0.0035311552513178635,250.43571428571428,248.0408
2018-07-05,2018,7,5,Thursday,26,2018-26,272.17,273.18,270.96,273.11,56925900,250.11,0.008158033529998887,250.14928571428572,248.24779999999998
2018-07-06,2018,7,6,Friday,26,2018-26,273.14,275.84,272.71,275.42,66493700,252.23,0.008458190373098029,250.03785714285715,248.4854
2018-07-09,2018,7,9,Monday,27,2018-27,276.55,277.96,276.5,277.9,50550400,254.5,0.009004193806200211,250.1257142857143,248.71959999999999
